MatchID,RecTeam_Score,PullTeam_Score,RecTeam_Win_Prob,PullTeam_Win_Prob,RecTeam_Avg_Score,PullTeam_Avg_Score,RecTeam_RecToStartGame,SecondHalf,Time_StartofSim,Time_UntilCap,CapOn,OLE_Rate
0-0-85-1,0,0,0.501612,0.498388,12.394884,12.385764,1,0,0,85,0,0.63
8-0-85-1,8,0,0.989724,0.010276,15.003752,6.601428,1,1,0,85,0,0.63
9-0-85-1,9,0,0.99594,0.00406,15.002176,5.598696,1,1,0,85,0,0.63
10-0-85-1,10,0,0.998832,0.001168,15.000896,4.586084,1,1,0,85,0,0.63
11-0-85-1,11,0,0.999,0.001,0,0,1,1,0,85,0,0.63
12-0-85-1,12,0,0.999,0.001,0,0,1,1,0,85,0,0.63
13-0-85-1,13,0,0.999,0.001,0,0,1,1,0,85,0,0.63
14-0-85-1,14,0,0.999,0.001,0,0,1,1,0,85,0,0.63
0-1-85-1,0,1,0.396432,0.603568,12.078336,13.181284,1,0,0,85,0,0.63
1-1-85-1,1,1,0.502404,0.497596,12.91318,12.900464,1,0,0,85,0,0.63
2-1-85-1,2,1,0.608728,0.391272,13.62246,12.497292,1,0,0,85,0,0.63
3-1-85-1,3,1,0.709228,0.290772,14.169344,11.959164,1,0,0,85,0,0.63
4-1-85-1,4,1,0.79922,0.20078,14.559292,11.254788,1,0,0,85,0,0.63
5-1-85-1,5,1,0.870616,0.129384,14.79682,10.45948,1,0,0,85,0,0.63
6-1-85-1,6,1,0.924872,0.075128,14.929192,9.543832,1,0,0,85,0,0.63
7-1-85-1,7,1,0.960084,0.039916,14.983772,8.591408,1,0,0,85,0,0.63
8-1-85-1,8,1,0.981564,0.018436,15.00428,7.609556,1,1,0,85,0,0.63
9-1-85-1,9,1,0.99274,0.00726,15.004656,6.59022,1,1,0,85,0,0.63
10-1-85-1,10,1,0.997536,0.002464,15.002284,5.586924,1,1,0,85,0,0.63
11-1-85-1,11,1,0.999404,0.000596,15.000856,4.590868,1,1,0,85,0,0.63
12-1-85-1,12,1,0.999,0.001,0,0,1,1,0,85,0,0.63
13-1-85-1,13,1,0.999,0.001,0,0,1,1,0,85,0,0.63
14-1-85-1,14,1,0.999,0.001,0,0,1,1,0,85,0,0.63
0-2-85-1,0,2,0.30008,0.69992,11.65206,13.82816,1,0,0,85,0,0.63
1-2-85-1,1,2,0.394484,0.605516,12.510112,13.607552,1,0,0,85,0,0.63
2-2-85-1,2,2,0.502252,0.497748,13.27526,13.258032,1,0,0,85,0,0.63
3-2-85-1,3,2,0.61218,0.38782,13.904648,12.77752,1,0,0,85,0,0.63
4-2-85-1,4,2,0.717656,0.282344,14.380728,12.157668,1,0,0,85,0,0.63
