MatchID,RecTeam_Score,PullTeam_Score,RecTeam_Win_Prob,PullTeam_Win_Prob,RecTeam_Avg_Score,PullTeam_Avg_Score,RecTeam_RecToStartGame,firstHalf,Time_StartofSim,Time_UntilCap,CapOn,SimulationCount,OLE_Rate
0-0-85-1,0,0,0.504924,0.495076,12.49784,12.481396,1,0,0,85,No,"250,000",0.7
8-0-85-1,8,0,0.996508,0.003492,15.003404,6.432036,1,1,0,85,No,"250,000",0.7
9-0-85-1,9,0,0.998836,0.001164,15.001352,5.430564,1,1,0,85,No,"250,000",0.7
10-0-85-1,10,0,0.999772,0.000228,15.000324,4.430444,1,1,0,85,No,"250,000",0.7
11-0-85-1,11,0,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
12-0-85-1,12,0,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
13-0-85-1,13,0,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
14-0-85-1,14,0,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
0-1-85-1,0,1,0.379756,0.620244,12.174576,13.318964,1,0,0,85,No,"250,000",0.7
1-1-85-1,1,1,0.506816,0.493184,13.062648,13.020584,1,0,0,85,No,"250,000",0.7
2-1-85-1,2,1,0.630432,0.369568,13.796692,12.60562,1,0,0,85,No,"250,000",0.7
3-1-85-1,3,1,0.747176,0.252824,14.35758,12.01736,1,0,0,85,No,"250,000",0.7
4-1-85-1,4,1,0.842636,0.157364,14.717812,11.263492,1,0,0,85,No,"250,000",0.7
5-1-85-1,5,1,0.910868,0.089132,14.908412,10.39374,1,0,0,85,No,"250,000",0.7
6-1-85-1,6,1,0.955492,0.044508,14.985548,9.4348,1,0,0,85,No,"250,000",0.7
7-1-85-1,7,1,0.97972,0.02028,15.004744,8.453304,1,0,0,85,No,"250,000",0.7
8-1-85-1,8,1,0.992392,0.007608,15.007584,7.438888,1,1,0,85,No,"250,000",0.7
9-1-85-1,9,1,0.997648,0.002352,15.003156,6.420272,1,1,0,85,No,"250,000",0.7
10-1-85-1,10,1,0.99932,0.00068,15.001128,5.436724,1,1,0,85,No,"250,000",0.7
11-1-85-1,11,1,0.999848,0.000152,15.000156,4.4283,1,1,0,85,No,"250,000",0.7
12-1-85-1,12,1,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
13-1-85-1,13,1,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
14-1-85-1,14,1,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
0-2-85-1,0,2,0.267536,0.732464,11.713544,13.993856,1,0,0,85,No,"250,000",0.7
1-2-85-1,1,2,0.376756,0.623244,12.630128,13.780088,1,0,0,85,No,"250,000",0.7
2-2-85-1,2,2,0.507328,0.492672,13.456112,13.409588,1,0,0,85,No,"250,000",0.7
3-2-85-1,3,2,0.636008,0.363992,14.116436,12.910844,1,0,0,85,No,"250,000",0.7
4-2-85-1,4,2,0.755836,0.244164,14.583628,12.222556,1,0,0,85,No,"250,000",0.7
5-2-85-1,5,2,0.851816,0.148184,14.850232,11.387884,1,0,0,85,No,"250,000",0.7
6-2-85-1,6,2,0.920192,0.079808,14.975764,10.45116,1,0,0,85,No,"250,000",0.7
7-2-85-1,7,2,0.961388,0.038612,15.009636,9.45598,1,0,0,85,No,"250,000",0.7
8-2-85-1,8,2,0.984556,0.015444,15.013104,8.455964,1,1,0,85,No,"250,000",0.7
9-2-85-1,9,2,0.994788,0.005212,15.007024,7.441252,1,1,0,85,No,"250,000",0.7
10-2-85-1,10,2,0.99848,0.00152,15.002088,6.430664,1,1,0,85,No,"250,000",0.7
11-2-85-1,11,2,0.999736,0.000264,15.000596,5.430076,1,1,0,85,No,"250,000",0.7
12-2-85-1,12,2,0.999952,4.80E-05,15.000084,4.42848,1,1,0,85,No,"250,000",0.7
13-2-85-1,13,2,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
14-2-85-1,14,2,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
0-3-85-1,0,3,0.171292,0.828708,11.081664,14.482832,1,0,0,85,No,"250,000",0.7
1-3-85-1,1,3,0.259948,0.740052,12.036064,14.33716,1,0,0,85,No,"250,000",0.7
2-3-85-1,2,3,0.373996,0.626004,12.942384,14.082144,1,0,0,85,No,"250,000",0.7
3-3-85-1,3,3,0.506008,0.493992,13.719416,13.684776,1,0,0,85,No,"250,000",0.7
4-3-85-1,4,3,0.645232,0.354768,14.331216,13.0883,1,0,0,85,No,"250,000",0.7
5-3-85-1,5,3,0.768004,0.231996,14.729304,12.340564,1,0,0,85,No,"250,000",0.7
6-3-85-1,6,3,0.865588,0.134412,14.935076,11.43942,1,0,0,85,No,"250,000",0.7
7-3-85-1,7,3,0.928816,0.071184,15.007412,10.483064,1,0,0,85,No,"250,000",0.7
8-3-85-1,8,3,0.9686,0.0314,15.02138,9.464844,1,1,0,85,No,"250,000",0.7
9-3-85-1,9,3,0.988384,0.011616,15.013352,8.449504,1,1,0,85,No,"250,000",0.7
10-3-85-1,10,3,0.99646,0.00354,15.00544,7.4425,1,1,0,85,No,"250,000",0.7
11-3-85-1,11,3,0.99926,0.00074,15.001488,6.436712,1,1,0,85,No,"250,000",0.7
12-3-85-1,12,3,0.999848,0.000152,15.000344,5.423904,1,1,0,85,No,"250,000",0.7
13-3-85-1,13,3,0.999996,4.00E-06,15.000036,4.42634,1,1,0,85,No,"250,000",0.7
14-3-85-1,14,3,0.999,0.001,0,0,1,1,0,85,No,"250,000",0.7
0-4-85-1,0,4,0.0984,0.9016,10.295392,14.78422,1,0,0,85,No,"250,000",0.7
1-4-85-1,1,4,0.161828,0.838172,11.290892,14.706492,1,0,0,85,No,"250,000",0.7
2-4-85-1,2,4,0.249744,0.750256,12.239968,14.560132,1,0,0,85,No,"250,000",0.7
3-4-85-1,3,4,0.366036,0.633964,13.138148,14.298548,1,0,0,85,No,"250,000",0.7
4-4-85-1,4,4,0.507584,0.492416,13.901988,13.858804,1,0,0,85,No,"250,000",0.7
5-4-85-1,5,4,0.651816,0.348184,14.479984,13.2246,1,0,0,85,No,"250,000",0.7
6-4-85-1,6,4,0.78122,0.21878,14.837268,12.419952,1,0,0,85,No,"250,000",0.7
7-4-85-1,7,4,0.876416,0.123584,14.988076,11.494304,1,0,0,85,No,"250,000",0.7
8-4-85-1,8,4,0.940508,0.059492,15.02802,10.481556,1,1,0,85,No,"250,000",0.7
9-4-85-1,9,4,0.975208,0.024792,15.023728,9.46906,1,1,0,85,No,"250,000",0.7
10-4-85-1,10,4,0.991996,0.008004,15.01146,8.438128,1,1,0,85,No,"250,000",0.7
11-4-85-1,11,4,0.997976,0.002024,15.003856,7.435336,1,1,0,85,No,"250,000",0.7
12-4-85-1,12,4,0.99964,0.00036,15.00076,6.422936,1,1,0,85,No,"250,000",0.7
